🔵 DB Name (A),🟢 Category (B),🟡 Correct Product Name (C),🟡 Brand (D),🟢 VAT% (E),🟢 Base Unit (F),🟢 Base Cost KES (G),🟢 Base Sell KES (H),🟢 Base Stock (I),🟡 Barcode (J),🟢 L1 Pack Name (K),🟠 L1 Qty in Base (L),🟢 L1 Cost KES (M),🟢 L1 Sell KES (N),🟢 L1 Stock (O),🟢 L2 Pack Name (P),🟠 L2 Qty in L1 (Q),🟢 L2 Cost KES (R),🟢 L2 Sell KES (S),🟢 L2 Stock (T),🟡 Reorder Point (U),🟡 Lead Time Days (V),System Notes (W — do not edit)
BAHARI 6*2LTR-STT,Cooking Oil,,,16,Carton,2200,2500,0,,,,,,,Carton,6,2200,2500,0,,,"Name contains ""6*2L"" — suggests 6 units per pack — pre-filled as L2 qty"
BAHARI CHAI 20*50G,Beverages - Tea,,,16,Carton,1614,2400,0,,Outer,20,81,120,0,Carton,,1614,2400,0,,,"Name contains ""20*50G"" — suggests 20 units per pack — pre-filled as L1 qty"
BAHARI CHAI 250G,Beverages - Tea,,,16,Piece,45,100,0,,,,,,,Carton,,1800,2300,0,,,
BAHARI CHAI 500G,Beverages - Tea,,,16,Piece,90,110,0,,,,,,,Carton,,1800,2200,0,,,
Bahari Fry Vegetable Oil 3L,Cooking Oil,,,16,Piece,2020,2500,0,,,,,,,Carton,,2100,2000,0,,,
Bakex Semolina Sooji Rava 1Kg,Baking Ingredients,,,0,Piece,182,200,97,,,,,,,Carton,,3640,3700,4.8,,,
BAKIN POWDER 6*12P-STT,Bakery - Ingredients,,,16,Carton,2070,9300,14.3,,Outer,12,345,1550,86,Carton,,2070,9300,14.3,,,"Name contains ""*12P"" — suggests 12 units per pack — pre-filled as L1 qty"
BANJAB BASMAT 25G-SB3,Staples - Flour & Ugali,,,0,Carton,3281,3500,0,,,,,,,Carton,,3281,3500,0,,,
BARAKA BUSCUIT48PCS STT,Snacks - Biscuits & Cookies,,,16,Piece,35,46,456,,,,,,,Carton,,1700,2200,9.5,,,
BARAKA DATES SAAD 10KG,Snacks - Dates,,,16,Carton,1950,2500,7.5,,,,,,,Carton,,1950,2500,7.5,,,
Baraka Long Grain Rice 25Kg,Staples - Rice,,,0,Kilogram,142,180,780,,,,,,,Bag,,3550,3700,31.2,,,
Barakamaya Instant Dry Yeast 450g,Bakery - Ingredients,,,16,Piece,218,250,35,,,,,,,Carton,,4350,5000,1.8,,,
Barlin Long Grain Rice 25Kg,Staples - Rice,,,0,Bag,3070,4100,0,,,,,,,Bag,,3070,4100,0,,,
BASSO EXTRA VIEGIN 1LTR,Cooking Oil,,,16,Piece,1300,2100,0,,,,,,,,,,,,,,
BATOOK-STT,Personal Care - Soap,,,16,Piece,180,250,201,,,,,,,Carton,,9000,12500,4,,,
Bayara Almonds Powder 100g,Snacks - Nuts,,,0,Piece,120,200,5,,,,,,,,,,,,,,
BBQ SAUSE 12*510G,Condiments - Sauces,,,16,Piece,250,250,0,,,,,,,Carton,12,3000,3400,0,,,"Name contains ""12*510G"" — suggests 12 units per pack — pre-filled as L2 qty"
BEAUTY  SHOWER GEL 1000M,Personal Care - Shower Gel,,,16,Piece,470,700,46.9,,,,,,,Carton,,5640,8000,3.9,,,
BEAUTY CLIN SHOW GEL  500ML,Personal Care - Shower Gel,,,16,Piece,280,333,64,,,,,,,Carton,,6729,8000,2.7,,,
Beef Masala Spice 130g,Condiments - Spices & Chili,,,0,Piece,90,150,21,,,,,,,,,,,,,,
BELA TISH STT,Household - Paper Products,,,16,Carton,1180,1300,34.8,,Outer,,295,350,139,Carton,,1180,1300,34.8,,,
BELKIS 5LTR SB3,Other - General Merchandise,,,16,Carton,6100,6500,0,,,,,,,Carton,,6100,6500,0,,,
BELKIS SUNFL 5L STT,cooking oil,,,16,Piece,1517,1750,0,,,,,,,Carton,,6069,7000,0,,,
Bella Kitchen Paper Towel,Household - Paper Products,,,16,Carton,2000,3000,0,,Outer,,200,300,0,Carton,,2000,3000,0,,,
BELLA TOILET TISH JUMBO,Cleaning - Toilet & Bathroom,,,16,Carton,1200,1500,0,,,,,,,Carton,,1200,1500,0,,,
BERAK M BIG 10KG STT,Other - General Merchandise,,,16,Kilogram (1kg),135,150,0,,,,,,,Carton,,1350,1500,0,,,
BERAK M CIDI 10KG STT,Staples - Pasta & Noodles,,,16,Kilogram (1kg),135,150,0,,,,,,,Carton,,1350,1500,0,,,
BERAK M FUSULI10KG STT,Staples - Pasta & Noodles,,,16,Kilogram (1kg),135,150,0,,,,,,,Carton,,1350,1500,0,,,
BERAK M SMOLL 10KG STT,Other - General Merchandise,,,16,Kilogram (1kg),135,150,0,,,,,,,Carton,,1350,1500,0,,,
BERRIE WEEKEND PERFUME,Personal Care - Perfume,,,16,Piece,1050,1500,1,,,,,,,,,,,,,,
BERTINI 4*4LTRS,Cooking Oil,,,0,Piece,2250,2500,0,,,,,,,Carton,4,9000,10000,0,,,"Name contains ""4*4L"" — suggests 4 units per pack — pre-filled as L2 qty"
BERTINI OLIVE 12*1LTR,Cooking Oil,,,16,Piece,567,700,0,,,,,,,Carton,12,6800,7000,0,,,"Name contains ""12*1L"" — suggests 12 units per pack — pre-filled as L2 qty"
BESLER SP,Other - General Merchandise,,,16,Piece,64,70,0,,,,,,,Carton,,1280,1400,0,,,
BEYTI JUICE 27*235ML,Beverages - Juice & Drinks,,,16,Carton,450,600,0,,,,,,,Carton,27,450,600,0,,,"Name contains ""27*235ML"" — suggests 27 units per pack — pre-filled as L2 qty"
BG Tea 250g,Beverages - Tea,,,16,Piece,79,250,101,,,,,,,Carton,,3150,3500,2.5,,,
BG Tea 500g,Beverages - Tea,,,16,Piece,158,3500,60,,,,,,,Carton,,3150,3500,3,,,
BIG DADY LOLIPOP 16 PEKERT-STT,Snacks - Candy & Sweets,,,16,Piece,245,300,0,,,,,,,Carton,,3920,4800,0,,,
BIG G GUM 30PC,Snacks - Candy & Sweets,,,16,Carton,4612,150000,0,,Outer,30,154,200,0,Carton,,4612,150000,0,,,"Name contains ""30PC"" — suggests 30 units per pack — pre-filled as L1 qty"
BIG MAMA LOLIPOP,Snacks - Candy & Sweets,,,16,Carton,3840,4500,2.8,,Outer,,240,300,45,Carton,,3840,4500,2.8,,,
Bilan Ultra Baby Diapers Size 3,Baby Care - Diapers,,,16,Piece,142,146,117,,,,,,,Carton,,3400,3500,4.9,,,
Bilan Ultra Baby Diapers Size 4,Baby Care - Diapers,,,16,Piece,142,146,243,,,,,,,Carton,,3400,3500,10.1,,,
Bingo Soft Baby Diapers,Baby Care - Diapers,,,16,Piece,611,8500,0,,Box,,5500,8000,0,,,,,,,,
BINT AL ARAB PERFUME,Personal Care - Perfume,,,16,Piece,1100,1500,3,,,,,,,,,,,,,,
BIO BRIGHT HARPIC 750ML,Cleaning - Toilet & Bathroom,,,16,Piece,130,150,124,,,,,,,Carton,,3120,3200,5.2,,,
Bio Long Life Lactose Free Milk 500ml,Dairy - Milk,,,16,Box,520,650,0,,Box,,520,650,0,Carton,,470,550,0,,,
Bio Whole Fresh Milk 1L,Dairy - Milk,,,16,Kilogram (1kg),480,600,0,,,,,,,,,,,,,,
BIRYANI 25KG SB3,Other - General Merchandise,,,0,Bag,2150,3000,0,,,,,,,Bag,,2150,3000,0,,,
BIS KAMARA BISC 6*24PCS,Snacks - Biscuits & Cookies,,,16,Piece,400,500,5,,,,,,,Carton,24,2400,3000,0.8,,,"Name contains ""24PCS"" — suggests 24 units per pack — pre-filled as L2 qty"
BISCOF LOTUS 12*400G,Condiments - Honey & Spreads,,,0,Piece,810,900,38,,,,,,,Carton,12,9720,10000,3.2,,,"Name contains ""12*400G"" — suggests 12 units per pack — pre-filled as L2 qty"
BITEZ BERBEQUE12G,Snacks - Chips & Crisps,,,16,Carton,420,450,0,,,,,,,Carton,,420,450,0,,,
Black Pepper Spice,Condiments - Spices & Chili,,,0,Piece,170,250,17,,,,,,,,,,,,,,
BLOSSOM PERFUME,Personal Care - Perfume,,,16,Piece,1000,1500,2,,,,,,,,,,,,,,
Blue Band Vanilla 1kg,Cooking - Fats & Margarine,,,16,Piece,52,56,0,,Outer,,625,700,0,Carton,,8535,20000,0,,,
BLUE FOR MEN PERFUME,Personal Care - Perfume,,,16,Piece,1000,1500,1,,,,,,,,,,,,,,
Blueband Peanut Butter Crunchy 400G,Cooking - Fats & Margarine,,,16,Piece,217,300,19,,,,,,,Carton,,2600,3300,1.6,,,
BODY CREAM BUTTER,Cooking - Fats & Margarine,,,16,Piece,550,750,119,,Box,,6600,10000,9.9,,,,,,,,
BODY SPR,Other - General Merchandise,,,16,Piece,220,350,0,,,,,,,,,,,,,,
BONER JUICE 2.5KG,Beverages - Juice & Drinks,,,16,Piece,583,700,0,,,,,,,Carton,,3500,4000,0,,,
Boons Candy 250 Pieces,Snacks - Candy & Sweets,,,16,Piece,500,625,8,,,,,,,Carton,250,4000,5000,1,,,"Name contains ""250 Pieces"" — suggests 250 units per pack — pre-filled as L2 qty"
Bravo Fruit Juice 300ml,Beverages - Juice & Drinks,,,16,Box,380,500,62,,Box,,380,500,62,,,,,,,,
BRAWO DONUT,Snacks - Cakes & Donuts,,,16,Piece,500,650,0,,,,,,,,,,,,,,
BREAK CEKE 6*24G-STT,Snacks - Biscuits & Cookies,,,16,Carton,5640,6500,0,,,,,,,Carton,6,5640,6500,0,,,"Name contains ""6*24G"" — suggests 6 units per pack — pre-filled as L2 qty"
BREAK COFFE 12*200G-STT,Snacks - Cakes & Donuts,,,16,Carton,5700,6500,0,,,,,,,Carton,12,5700,6500,0,,,"Name contains ""12*200G"" — suggests 12 units per pack — pre-filled as L2 qty"
BREEZE SHAMPOO 250 ML,Personal Care - Hair Care,,,16,Piece,150,200,0,,,,,,,,,,,,,,
BREEZE SHAMPOO 500 ML,Personal Care - Hair Care,,,16,Piece,280,350,0,,,,,,,,,,,,,,
BRILLANT CHOCOLATE,Beverages - Soda,,,16,Carton,364,5000,0,,Outer,,30,417,0,Carton,,364,5000,0,,,
Broadways White Unsliced Bread 200G,Bakery - Bread,,,16,Piece,31,42,1958,,,,,,,Carton,,1480,2000,40.8,,,
BROOKSIDE 200*21 SB3,Dairy - Milk,,,16,Box,510,550,0,,Box,,510,550,0,,,,,,,,
BROOKSIDE 200*21 STT,Dairy - Milk,,,0,Carton,620,700,20,,,,,,,Carton,,620,700,20,,,
BROOKSIDE 6*2.5KG STT,Dairy - Milk,,,0,Piece,2383,2500,150,,,,,,,Carton,6,14300,17500,25,,,"Name contains ""6*2.5KG"" — suggests 6 units per pack — pre-filled as L2 qty"
BROOKSIDE 900G,Dairy - Milk,,,0,Piece,833,1167,0,,,,,,,Carton,,10000,14000,0,,,
Brookside Dairy Fresh Vanilla Flavoured Milk 250Ml Long Life,Dairy - Milk,,,16,Carton,3120,3500,0,,Outer,,390,438,0,Carton,,3120,3500,0,,,
Brookside Farm Fresh Whole Milk 500ml,Dairy - Milk,,,0,Carton,700,800,15,,,,,,,Carton,,700,800,15,,,
BROWN ADDICTION,Other - General Merchandise,,,16,Piece,950,1100,0,,,,,,,,,,,,,,
BROWN ORCHID PARFUM,Other - General Merchandise,,,16,Piece,1150,1500,0,,,,,,,,,,,,,,
BRUSH 123 HBD 40M,Other - General Merchandise,,,16,Dozen (12),323,450,0,,Dozen (12),,323,450,0,,,,,,,,
BUGLES 25GS STT,Snacks - Chips & Crisps,,,16,Box,1600,2000,0,,Box,,1600,2000,0,,,,,,,,
BUKHOOR UNSI,Incense & Fragrance,,,16,Piece,250,500,0,,,,,,,,,,,,,,
BUSHRA RICE 25KG,Staples - Rice,,,16,Bag,3250,3500,0,,,,,,,Bag,,3250,3500,0,,,
BUTTER ATTA MARK1 1KG,Cooking - Fats & Margarine,,,0,Piece,121,150,516,,,,,,,Carton,,2900,3100,21.5,,,
BUTTER LOLIPOS,Cooking - Fats & Margarine,,,16,Box,280,500,0,,Box,,280,500,0,,,,,,,,
BUTTER TAMBI 12*1KG,Cooking - Fats & Margarine,,,0,Piece,378,500,0,,,,,,,Carton,12,4536,4000,0,,,"Name contains ""12*1KG"" — suggests 12 units per pack — pre-filled as L2 qty"
BUTTERFLY DANGO 40*500G,Cooking - Fats & Margarine,,,16,Piece,185,3700,0,,,,,,,Carton,40,7400,148000,0,,,"Name contains ""40*500G"" — suggests 40 units per pack — pre-filled as L2 qty"
Butterfly Washed Toor Dal 1Kg,Cooking - Fats & Margarine,,,16,Piece,140,183,0,,,,,,,Carton,,3360,4400,0,,,
BUUTER TAMBI 24*500G,Other - General Merchandise,,,0,Piece,189,104,0,,,,,,,Carton,24,4536,4000,0,,,"Name contains ""24*500G"" — suggests 24 units per pack — pre-filled as L2 qty"
C B C  BLASTIC 20*500ML-STT,Other - General Merchandise,,,16,Piece,225,248,0,,,,,,,Carton,20,4500,5000,0,,,"Name contains ""20*500ML"" — suggests 20 units per pack — pre-filled as L2 qty"
C B C 400GM,Other - General Merchandise,,,16,Piece,229,350,113,,,,,,,Carton,,5500,6000,4.7,,,
C RICE 25KG  SB3,Staples - Rice,,,16,Bag,2650,2950,0,,,,,,,Bag,,2650,2950,0,,,
CAANO CABIR,Snacks - Biscuits & Cookies,,,16,Kilogram (1kg),800,16000,0,,,,,,,,,,,,,,
Cadbury Drinking Chocolate,Beverages - Soda,,,16,Piece,297,350,187,,Outer,,210,500,23,Carton,,7117,6600,7.8,,,
Cadbury Drinking Chocolate 125g,Beverages - Soda,,,16,Carton,2900,5000,0,,Outer,,120,200,0,Carton,,2900,5000,0,,,
Cadbury Drinking Chocolate 450g,Beverages - Soda,,,16,Piece,525,650,95,,,,,,,Carton,,6300,6500,7.9,,,
CAKE TIME CAKE,Snacks - Cakes & Donuts,,,16,Carton,3600,3800,2.5,,Outer,,600,633,15,Carton,,3600,3800,2.5,,,
CAKE UP CHOCOLATE 24*12,Beverages - Soda,,,16,Carton,5500,6000,0,,Outer,,229,6000,0,Carton,,5500,6000,0,,,
CAKE UP STRAWBERY 24*12,Snacks - Cakes & Donuts,,,16,Carton,5500,6000,0,,Outer,,229,350,0,Carton,,5500,6000,0,,,
CAMERA BIG,Staples - Flour & Ugali,,,16,Piece,92,102,0,,Dozen (12),,1100,1300,0,,,,,,,,
CAMERA SMALL,Staples - Flour & Ugali,,,16,Piece,200,300,0,,,,,,,,,,,,,,
CAMERA SMOLL 24DZ,Staples - Flour & Ugali,,,16,Carton,22000,35000,0,,Dozen (12),,917,1458,0,Carton,,22000,35000,0,,,
CANADA CARE SHAMPOO 12*1000ML,Personal Care - Hair Care,,,16,Piece,480,375,0,,,,,,,Carton,12,5762,4500,0,,,"Name contains ""12*1000ML"" — suggests 12 units per pack — pre-filled as L2 qty"
CANADA TREATMENT 1000ML-ST,Other - General Merchandise,,,16,Piece,450,4500,41,,,,,,,Carton,,5400,54000,3.4,,,
CANOLA IOL LTR,Other - General Merchandise,,,16,Piece,300,400,0,,,,,,,,,,,,,,
Carambola Bar Soap,Personal Care - Soap,,,16,Piece,50,150,0,,,,,,,,,,,,,,
CARDAMOM HILIKI100G,Other - General Merchandise,,,16,Piece,270,500,0,,,,,,,,,,,,,,
Cardamom Masala Spice,Condiments - Spices & Chili,,,0,Piece,250,350,6,,,,,,,,,,,,,,
CARE & MORE SHAMPOO 12*700M,Personal Care - Hair Care,,,16,Piece,300,450,0,,,,,,,Carton,,3600,4500,0,,,
CENNE CHOCOLTE,Snacks - Chocolate,,,16,Carton,4365,5000,0,,Outer,,364,5000,0,Carton,,4365,5000,0,,,
CERELAC BOX 24*400GM STT,Baby Care - Infant Formula,,,0,Piece,750,752,2,,,,,,,Carton,24,18000,18050,0.1,,,"Name contains ""24*400G"" — suggests 24 units per pack — pre-filled as L2 qty"
CHAI TANO 250G,Beverages - Tea,,,16,Carton,2400,2600,0,,Outer,,60,200,0,Carton,,2400,2600,0,,,
CHEESE FARMAJO,Dairy,,,0,Piece,375,500,36,,,,,,,Carton,,4500,6000,3,,,
CHEF NGANO 1KG,Staples - Flour & Ugali,,,16,Piece,186,250,0,,Box,,2230,4000,0,,,,,,,,
CHICK PEAS 24*400G,Staples - Pulses & Legumes,,,16,Piece,90,150,0,,,,,,,Carton,24,2160,3600,0,,,"Name contains ""24*400G"" — suggests 24 units per pack — pre-filled as L2 qty"
CHILL POWDER,Other - General Merchandise,,,0,Piece,120,250,32,,,,,,,,,,,,,,
CHILLI BOMBS MABUYUS,Condiments - Spices & Chili,,,16,Carton,1600,1800,0,,Outer,,80,90,0,Carton,,1600,1800,0,,,
CHOCO BIEN CAKE 6*24PCS,Snacks - Chocolate,,,16,Carton,2034,10000,0,,Outer,24,345,3400,0,Carton,,2034,10000,0,,,"Name contains ""24PCS"" — suggests 24 units per pack — pre-filled as L1 qty"
Choco Primo Chocolate 200g,Beverages - Soda,,,16,Piece,167,250,47,,,,,,,Carton,,2000,2500,3.9,,,
Choco Primo Chocolate Sachet,Beverages - Soda,,,16,Carton,480,1000,4,,Outer,,120,300,16,Carton,,480,1000,4,,,
CHOCO TATTO SANDWICH,Snacks - Chocolate,,,16,Carton,2500,3000,0,,Outer,,417,500,0,Carton,,2500,3000,0,,,
CHUMVI 20*1KG STT,Staples - Salt,,,16,Piece,29,50,107,,,,,,,Bale,20,580,650,5.3,,,"Name contains ""20*1KG"" — suggests 20 units per pack — pre-filled as L2 qty"
CHUMVI 200G-STT,Staples - Salt,,,16,Bale,250,300,37,,,,,,,Bale,,250,300,37,,,
CHUMVI 40*500G STT,Staples - Salt,,,16,Bale,600,650,24,,,,,,,Bale,40,600,650,24,,,"Name contains ""40*500G"" — suggests 40 units per pack — pre-filled as L2 qty"
CIKOBEST-STT,Snacks - Candy & Sweets,,,16,Piece,328,400,0,,,,,,,Carton,,1970,2200,0,,,
Cil Rice Pishori 1Kg,Staples - Rice,,,0,Bag,4000,4800,15,,,,,,,Bag,,4000,4800,15,,,
Cinnamon Masala Spice,Condiments - Spices & Chili,,,0,Piece,145,300,46,,,,,,,,,,,,,,
CKL Candy 80 Pieces,Snacks - Candy & Sweets,,,16,Carton,2514,2600,0,,Outer,80,84,100,0,Carton,,2514,2600,0,,,"Name contains ""80 Pieces"" — suggests 80 units per pack — pre-filled as L1 qty"
CLARA FRESHNER 12*500ML,Household - Air Freshener,,,16,Piece,500,600,33,,,,,,,Carton,12,6000,7000,2.8,,,"Name contains ""12*500ML"" — suggests 12 units per pack — pre-filled as L2 qty"
Clear Anti-Dandruff Shampoo,Personal Care - Hair Care,,,16,Piece,280,312,0,,,,,,,Carton,,6720,7500,0,,,
CLIN CLEER PAD10 PCS,Personal Care - Sanitary,,,16,Carton,1411,1500,0,,,,,,,Carton,10,1411,1500,0,,,"Name contains ""10 PCS"" — suggests 10 units per pack — pre-filled as L2 qty"
Clovers Chocolate Drinking Powder 200G,Beverages - Soda,,,16,Piece,80,150,0,,,,,,,Carton,,1600,2000,0,,,
Clovers Cocoa Powder Jar 100G,Beverages - Malt & Cocoa Drinks,,,16,Piece,141,3200,0,,,,,,,Carton,,11894,12000,7.2,,,
Clovers Custard Powder 500g,Cleaning - Dishwashing,,,16,Piece,49,120,0,,Box,,1180,1500,0,Carton,,1167,1500,0,,,
Clovers Pure Glucose Jar 500g,Other - General Merchandise,,,16,Piece,2650,2850,0,,,,,,,,,,,,,,
Clovers Raspberry Food Colour 10g,Condiments - Sauces,,,0,Outer,100,150,126,,Outer,,100,150,126,,,,,,,,
Clovers Tomato Paste In Tin 400G,Tomato Paste & Sauce,,,16,Piece,28,850,0,,Box,,930,1200,0,Carton,,1480,1500,0,,,
Cloves Masala Spice,Condiments - Spices & Chili,,,0,Piece,260,350,6,,,,,,,,,,,,,,
Club Lemonade Juice 350Ml,Beverages - Juice & Drinks,,,16,Box,450,500,7,,Box,,450,500,7,,,,,,,,
Coca Cola Drink 350Ml,Beverages - Soda,,,16,Outer,350,500,0,,Outer,,350,500,0,,,,,,,,
COCOA MORADO PERFUME,Beverages - Malt & Cocoa Drinks,,,16,Piece,1100,1800,0,,,,,,,,,,,,,,
COCOA SACHET20G,Beverages - Malt & Cocoa Drinks,,,16,Carton,2650,3000,0,,Outer,,265,400,0,Carton,,2650,3000,0,,,
Coffee Break Instant Coffee 100g,Beverages - Coffee,,,16,Piece,200,2600,0,,,,,,,,,,,,,,
Coffee Break Instant Coffee 200g,Beverages - Coffee,,,16,Piece,430,1950,0,,,,,,,,,,,,,,
Coffee Break Instant Coffee 50g,Beverages - Coffee,,,16,Carton,6000,6400,0,,,,,,,Carton,,6000,6400,0,,,
Colgate Charcoal Clean Toothpaste 120g,Tomato Paste & Sauce,,,16,Piece,334,500,0,,Dozen (12),,2375,4200,7.8,Carton,,9500,13800,2,,,
Colgate Charcoal Clean Toothpaste 35g,Tomato Paste & Sauce,,,16,Dozen (12),800,1000,1,,Dozen (12),,800,1000,1,,,,,,,,
Colgate Herbal Toothpaste 100ml,Tomato Paste & Sauce,,,16,Piece,125,150,855,,Dozen (12),,1500,1800,71.3,Carton,,9000,10800,11.9,,,
Colgate Herbal Toothpaste 35g,Tomato Paste & Sauce,,,16,Carton,9600,10000,8.4,,Dozen (12),,800,850,101,Carton,,9600,10000,8.4,,,
Colgate Herbal Toothpaste 70ml,Tomato Paste & Sauce,,,16,Carton,8318,8000,3.8,,Dozen (12),,1386,1333,23,Carton,,8318,8000,3.8,,,
Colgate Red Toothpaste 100ml,Tomato Paste & Sauce,,,16,Piece,125,150,1041,,Dozen (12),,1500,1800,86.8,Carton,,9000,10800,14.5,,,
Colgate Red Toothpaste 70ml,Tomato Paste & Sauce,,,16,Carton,12000,17000,4.8,,Dozen (12),,1000,2833,58,Carton,,12000,17000,4.8,,,
Colgate Smile Whitening Toothpaste 150g,Tomato Paste & Sauce,,,16,Piece,200,500,11,,,,,,,,,,,,,,
Colgate Toothpaste,Tomato Paste & Sauce,,,16,Piece,162,180,6,,Dozen (12),,800,1250,69,Carton,,9600,10500,5.8,,,
CONFY  NO 2,Baby Care - Diapers,,,16,Piece,818,3350,0,,,,,,,Carton,,3270,3350,0,,,
CONFY 4*60  3 STT,Baby Care - Diapers,,,16,Piece,1016,1250,2,,,,,,,Carton,,4065,4500,0.5,,,
CONFY 4*80 2 STT,Baby Care - Diapers,,,16,Piece,1055,1125,0,,,,,,,Carton,,4219,4500,0,,,
CONFY MIX 4*50 4 STT,Baby Care - Diapers,,,16,Piece,1016,1250,69,,,,,,,Carton,,4063,5000,17.3,,,
CONFY NO 4*40  5 STT,Baby Care - Diapers,,,16,Piece,1010,1250,1,,,,,,,Carton,,4039,5000,0.3,,,
CONFY NO 6*42 6 STT,Baby Care - Diapers,,,16,Piece,1016,3500,2,,,,,,,Carton,,4065,14000,0.5,,,
Cool Cool Baby Shampoo 500ML,Personal Care - Hair Care,,,16,Piece,160,300,0,,Box,,5400,6000,2.2,,,,,,,,
COSMO SCRUB,Other - General Merchandise,,,16,Piece,300,350,24,,,,,,,,,,,,,,
COSY POA TISH 40 STT,Household - Paper Products,,,16,Piece,240,300,9,,Box,,960,1200,2.3,,,,,,,,
COSY SEVEIRT STT,Other - General Merchandise,,,16,Box,1107,1230,0,,Box,,1107,1230,0,,,,,,,,
Cosy Toilet Roll White 10 Pack,Cleaning - Toilet & Bathroom,,,16,Piece,70,110,0,,,,,,,Carton,,700,900,0,,,
COTTON SOFT 16*7 LONG,Household - Tissue,,,0,Carton,1130,1050,2,,,,,,,Carton,16,1130,1050,2,,,"Name contains ""16*7 L"" — suggests 16 units per pack — pre-filled as L2 qty"
COW  GATE [1] 6*900G,Baby Care - Infant Formula,,,0,Piece,1800,2417,0,,,,,,,Carton,6,10800,14500,0,,,"Name contains ""6*900G"" — suggests 6 units per pack — pre-filled as L2 qty"
COW  GATE [2] 6*900G,Baby Care - Infant Formula,,,16,Piece,1733,2333,0,,,,,,,Carton,6,10400,14000,0,,,"Name contains ""6*900G"" — suggests 6 units per pack — pre-filled as L2 qty"
COW  GATE 1 12*400G,Baby Care - Infant Formula,,,0,Piece,1100,1200,118,,,,,,,Carton,12,13200,20000,9.8,,,"Name contains ""12*400G"" — suggests 12 units per pack — pre-filled as L2 qty"
Cow & Gate Follow On Milk Stage 2 400g,Dairy - Milk,,,0,Piece,1100,1200,85,,,,,,,Carton,,13200,14500,0.9,,,
CREAMY YOGHURT 20*50PCS,Dairy - Yogurt,,,16,Piece,109,475,0,,,,,,,Carton,50,2188,9505,0,,,"Name contains ""50PCS"" — suggests 50 units per pack — pre-filled as L2 qty"
CROSS CHOCOLTE,Snacks - Chocolate,,,16,Carton,4365,5000,0,,Outer,,364,5000,0,Carton,,4365,5000,0,,,
CROWN RICE SB3,Staples - Rice,,,0,Bag,3250,3000,0,,,,,,,Bag,,3250,3000,0,,,
CUMIN,Other - General Merchandise,,,0,Piece,158,250,4,,,,,,,,,,,,,,
CUSHY DEPER 4,Baby Care - Diapers,,,16,Outer,850,1000,0,,Outer,,850,1000,0,,,,,,,,
CUSTAR POWDER 250GM,Bakery - Ingredients,,,16,Piece,65,100,3,,,,,,,Carton,,778,1200,0.3,,,
CUSTAR POWDER 500GM,Bakery - Ingredients,,,16,Piece,117,150,229,,,,,,,Carton,,1400,1800,19.1,,,
Daawat Basmati Rice 1Kg,Staples - Rice,,,16,Kilogram (1kg),90,120,0,,,,,,,Bale,,5324,5500,0,,,
Daawat Basmati Rice 5Kg,Staples - Rice,,,0,Piece,788,1000,2,,,,,,,Bag,,10900,11500,9.8,,,
DABUR CHARCOAL 48*150GM,Other - General Merchandise,,,16,Piece,244,300,448,,,,,,,,,,,,,,
Dabur Herb Clove,Other - General Merchandise,,,16,Piece,60,150,0,,,,,,,Carton,,8880,12000,9.3,,,
Dabur Vatika Shampoo,Personal Care - Hair Care,,,16,Piece,280,600,0,,,,,,,,,,,,,,
Daily Fresh Milk Powder,Dairy - Milk,,,16,Bag,12000,14000,0,,,,,,,Bag,,12000,14000,0,,,
Daima Chocolate Milk Pet 250Ml 6 Pack,Beverages - Soda,,,0,Carton,863,1200,0,,,,,,,Carton,,863,1200,0,,,
Daima Mango Yogurt 250ml,Dairy - Yogurt,,,0,Carton,1061,1250,5,,,,,,,Carton,,1061,1250,5,,,
DAIMA STARWREBY 500ML,Dairy,,,0,Carton,1020,1100,4,,,,,,,Carton,,1020,1100,4,,,
Daima Vanilla Yogurt 150ml,Dairy - Yogurt,,,0,Carton,1020,1100,21,,,,,,,Carton,,1020,1100,21,,,
DAIRY KUBWA 12*500ML,Other - General Merchandise,,,16,Box,650,1000,0,,Box,12,650,1000,0,,,,,,,,"Name contains ""12*500ML"" — suggests 12 units per pack — pre-filled as L1 qty"
DAIRY KUBWA 21*200ML,Other - General Merchandise,,,16,Box,600,700,0,,Box,21,600,700,0,,,,,,,,"Name contains ""21*200ML"" — suggests 21 units per pack — pre-filled as L1 qty"
DAIRY TOP ESL 12*500ML,Other - General Merchandise,,,16,Box,570,750,0,,Box,12,570,750,0,,,,,,,,"Name contains ""12*500ML"" — suggests 12 units per pack — pre-filled as L1 qty"
DAIRY TOP ESL 21*200ML,Other - General Merchandise,,,16,Carton,440,600,0,,,,,,,Carton,21,440,600,0,,,"Name contains ""21*200ML"" — suggests 21 units per pack — pre-filled as L2 qty"
Daljir Long Grain Rice 25Kg,Staples - Rice,,,0,Kilogram,160,188,0,,,,,,,Bag,,4000,4700,0,,,
DAMA PASHA 450G*20SB3,Other - General Merchandise,,,16,Carton,2950,3200,0,,,,,,,Carton,,2950,3200,0,,,
DANA  VINEGAR 4*5 LTR,Condiments - Sauces,,,16,Piece,195,250,17,,,,,,,Carton,4,780,1500,4.3,,,"Name contains ""4*5 L"" — suggests 4 units per pack — pre-filled as L2 qty"
